Date,Open,High,Low,Close
2020-01-02,17.8535,18.1,17.79,18.02
2020-01-03,18.023,18.27,18,18.02
2020-01-06,18.16,18.51,18.02,18.15
2020-01-07,18.14,18.4405,17.95,18.4055
2020-01-08,18.424,18.8555,18.06,18.1
2020-01-09,18.11,18.21,17.8,17.9
2020-01-10,17.91,18.1505,17.8464,18.0795
2020-01-13,18.1,18.11,17.92,17.96
2020-01-14,17.97,17.97,17.68,17.8
2020-01-15,17.79,18.0435,17.74,18.0055
2020-01-16,18.0055,18.0505,17.8652,17.94
2020-01-17,17.95,18.17,17.91,18.02
2020-01-20,18.04,18.13,18,18.0665
2020-01-21,18.0685,18.1565,17.64,17.79
2020-01-22,17.8,17.9325,17.69,17.8375
2020-01-23,17.8415,17.9155,17.61,17.8
2020-01-24,17.81,18.15,17.75,18.12
2020-01-27,18.26,18.34,18.05,18.1
2020-01-28,18.09,18.121,17.44,17.47
2020-01-29,17.46,17.59,17.39,17.56
2020-01-30,17.57,18.04,17.54,17.837
2020-01-31,17.8415,18.0975,17.7955,18.0315
2020-02-03,18.13,18.13,17.6,17.68
2020-02-04,17.69,17.79,17.53,17.59
2020-02-05,17.6,17.73,17.49,17.61
2020-02-06,17.62,17.89,17.6,17.82
2020-02-07,17.825,17.87,17.64,17.71
2020-02-10,17.72,17.84,17.6891,17.77
2020-02-11,17.78,17.81,17.5798,17.65
2020-02-12,17.6316,17.67,17.465,17.49
2020-02-13,17.484,17.74,17.476,17.65
2020-02-14,17.646,17.8115,17.62,17.7295
2020-02-17,17.73,17.89,17.7,17.7855
2020-02-18,17.8,18.23,17.79,18.17
2020-02-19,18.18,18.4675,18.1559,18.435
2020-02-20,18.4465,18.4495,18.2247,18.367
2020-02-21,18.371,18.63,18.345,18.5
2020-02-24,18.67,18.95,18.54,18.64
2020-02-25,18.65,18.67,17.86,18
2020-02-26,17.99,18.21,17.8,17.92
2020-02-27,17.91,18.14,17.6131,17.7775
2020-02-28,17.7515,17.8675,16.4,16.62
2020-03-02,16.54,17.06,16.45,16.73
2020-03-03,16.72,17.47,16.72,17.22
2020-03-04,17.2,17.34,17.09,17.22
2020-03-05,17.23,17.46,17.15,17.44
2020-03-06,17.444,17.58,17.06,17.33
2020-03-09,17.57,17.57,16.57,17.025
2020-03-10,16.92,17.2,16.8135,16.8925
2020-03-11,16.9565,17.11,16.68,16.7705
2020-03-12,16.77,16.92,15.52,15.8485
